127.0.0.1 - - [27/Apr/2023:13:03:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:03:51 +0530] "GET /Project_4/ HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:05:58 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:06:20 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:24:04 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:43:57 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:44:52 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:50:43 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:51:07 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:51:23 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:51:23 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:52:02 +0530] "GET /Project_4/ctl/StudentCtl HTTP/1.1" 200 7242
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:52:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:53:22 +0530] "POST /Project_4/ctl/StudentCtl HTTP/1.1" 200 7424
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:53:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:53:45 +0530] "POST /Project_4/ctl/StudentCtl HTTP/1.1" 200 7413
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:53:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:54:00 +0530] "GET /Project_4/ctl/StudentListCtl HTTP/1.1" 200 9637
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:54:15 +0530] "POST /Project_4/ctl/StudentListCtl HTTP/1.1" 200 9693
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:54:26 +0530] "GET /Project_4/ctl/StudentListCtl HTTP/1.1" 200 9637
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:54:31 +0530] "GET /Project_4/ctl/StudentCtl HTTP/1.1" 200 7242
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:54:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:54:34 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:54:37 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:54:37 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:54:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:54:37 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:55:45 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 5986
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:55:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:55:45 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:55:54 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 5876
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:55:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:55:54 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:56:14 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:56:26 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:56:26 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:56:34 +0530] "GET /Project_4/ctl/StudentListCtl HTTP/1.1" 200 9637
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:56:37 +0530] "GET /Project_4/ctl/RoleCtl HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:56:49 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9422
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:56:56 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 8699
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:59:19 +0530] "GET /Project_4/ctl/UserCtl?id=41 HTTP/1.1" 200 8140
0:0:0:0:0:0:0:1 - - [27/Apr/2023:13:59:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:00:16 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8189
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:00:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:00:19 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:00:41 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:00:41 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 2354
