127.0.0.1 - - [28/May/2023:22:47:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/May/2023:22:47:10 +0530] "GET /Project_4/ HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [28/May/2023:22:47:13 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [28/May/2023:22:47:16 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 2771
0:0:0:0:0:0:0:1 - - [28/May/2023:22:47:58 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2023:22:47:58 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [28/May/2023:22:48:01 +0530] "GET /Project_4/ctl/MyProfileCtl HTTP/1.1" 200 6346
0:0:0:0:0:0:0:1 - - [28/May/2023:22:48:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:22:48:02 +0530] "GET /Project_4/js/calendar.js HTTP/1.1" 404 957
0:0:0:0:0:0:0:1 - - [28/May/2023:22:48:02 +0530] "GET /Project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 4938
0:0:0:0:0:0:0:1 - - [28/May/2023:22:50:45 +0530] "GET /Project_4/ctl/MyProfileCtl HTTP/1.1" 200 6346
0:0:0:0:0:0:0:1 - - [28/May/2023:22:50:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:22:50:45 +0530] "GET /Project_4/js/calendar.js HTTP/1.1" 404 957
0:0:0:0:0:0:0:1 - - [28/May/2023:22:50:49 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8081
0:0:0:0:0:0:0:1 - - [28/May/2023:22:50:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:22:50:52 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8081
0:0:0:0:0:0:0:1 - - [28/May/2023:22:50:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:22:50:58 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9425
0:0:0:0:0:0:0:1 - - [28/May/2023:22:51:03 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2023:22:51:03 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8081
0:0:0:0:0:0:0:1 - - [28/May/2023:22:51:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:22:51:08 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8081
0:0:0:0:0:0:0:1 - - [28/May/2023:22:51:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:22:51:14 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9425
0:0:0:0:0:0:0:1 - - [28/May/2023:22:51:17 +0530] "GET /Project_4/ctl/UserCtl?id=5 HTTP/1.1" 200 7861
0:0:0:0:0:0:0:1 - - [28/May/2023:22:51:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:22:51:55 +0530] "GET /Project_4/ctl/UserCtl?id=5 HTTP/1.1" 200 7861
0:0:0:0:0:0:0:1 - - [28/May/2023:22:51:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:22:51:55 +0530] "GET /Project_4/img/RaysLogo.png HTTP/1.1" 200 20585
0:0:0:0:0:0:0:1 - - [28/May/2023:22:51:55 +0530] "GET /Project_4/img/Raysicon.png HTTP/1.1" 200 12498
0:0:0:0:0:0:0:1 - - [28/May/2023:22:52:29 +0530] "GET /Project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 4938
0:0:0:0:0:0:0:1 - - [28/May/2023:22:52:42 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9425
0:0:0:0:0:0:0:1 - - [28/May/2023:22:52:44 +0530] "GET /Project_4/ctl/UserCtl?id=5 HTTP/1.1" 200 7861
0:0:0:0:0:0:0:1 - - [28/May/2023:22:52:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:22:52:50 +0530] "GET /Project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 4938
0:0:0:0:0:0:0:1 - - [28/May/2023:22:52:56 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9425
0:0:0:0:0:0:0:1 - - [28/May/2023:22:53:04 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7858
0:0:0:0:0:0:0:1 - - [28/May/2023:22:53:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:22:54:09 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [28/May/2023:22:54:26 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2023:22:54:26 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [28/May/2023:22:54:31 +0530] "GET /Project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 4145
0:0:0:0:0:0:0:1 - - [28/May/2023:22:55:24 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [28/May/2023:22:55:33 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2023:22:55:33 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [28/May/2023:22:55:35 +0530] "GET /Project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 4938
0:0:0:0:0:0:0:1 - - [28/May/2023:22:56:06 +0530] "POST /Project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 5075
0:0:0:0:0:0:0:1 - - [28/May/2023:22:57:31 +0530] "POST /Project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [28/May/2023:22:58:30 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9425
0:0:0:0:0:0:0:1 - - [28/May/2023:22:58:33 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9425
