127.0.0.1 - - [01/Jun/2023:12:17:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:17:11 +0530] "GET /Project_4/ HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:18:04 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:18:07 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 2771
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:18:28 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:18:28 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:18:32 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9433
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:18:49 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:18:49 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8062
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:18:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:19:22 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9433
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:19:33 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:19:33 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8062
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:19:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:19:44 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9433
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:27:49 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:27:49 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8062
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:27:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:54:22 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8347
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:54:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:54:35 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8329
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:54:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:54:43 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8312
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:54:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:54:50 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8312
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:54:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:55:12 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:55:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:55:22 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8276
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:55:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:55:43 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8258
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:55:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:55:57 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8306
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:55:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:56:03 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8319
